"Plot Title: B2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376502, SEN S/N: 20376502)","Coupler Detached (LGR S/N: 20376502)","End Of File (LGR S/N: 20376502)"
1,06/13/23 08:41:27 PM,25.319,,
2,06/13/23 08:41:41 PM,,Logged,
3,06/13/23 09:11:27 PM,23.869,,
4,06/13/23 09:41:27 PM,22.429,,
5,06/13/23 10:11:27 PM,22.142,,
6,06/13/23 10:41:27 PM,22.238,,
7,06/13/23 11:11:27 PM,22.429,,
8,06/13/23 11:41:27 PM,22.238,,
9,06/14/23 12:11:27 AM,22.333,,
10,06/14/23 12:41:27 AM,22.238,,
11,06/14/23 01:11:27 AM,22.142,,
12,06/14/23 01:41:27 AM,22.238,,
13,06/14/23 02:11:27 AM,22.046,,
14,06/14/23 02:41:27 AM,21.951,,
15,06/14/23 03:11:27 AM,21.951,,
16,06/14/23 03:41:27 AM,21.855,,
17,06/14/23 04:11:27 AM,21.760,,
18,06/14/23 04:41:27 AM,21.760,,
19,06/14/23 05:11:27 AM,21.760,,
20,06/14/23 05:41:27 AM,21.855,,
21,06/14/23 06:11:27 AM,18.616,,
22,06/14/23 06:41:27 AM,17.855,,
23,06/14/23 07:11:27 AM,17.570,,
24,06/14/23 07:41:27 AM,16.999,,
25,06/14/23 08:11:27 AM,17.760,,
26,06/14/23 08:41:27 AM,19.092,,
27,06/14/23 09:11:27 AM,20.519,,
28,06/14/23 09:41:27 AM,22.429,,
29,06/14/23 10:11:27 AM,25.028,,
30,06/14/23 10:41:27 AM,26.879,,
31,06/14/23 11:11:27 AM,30.862,,
32,06/14/23 11:41:27 AM,30.558,,
33,06/14/23 12:11:27 PM,28.655,,
34,06/14/23 12:41:27 PM,29.853,,
35,06/14/23 01:11:27 PM,30.862,,
36,06/14/23 01:41:27 PM,33.222,,
37,06/14/23 02:11:27 PM,34.479,,
38,06/14/23 02:41:27 PM,33.014,,
39,06/14/23 03:11:27 PM,31.880,,
40,06/14/23 03:41:27 PM,31.268,,
41,06/14/23 04:11:27 PM,32.807,,
42,06/14/23 04:41:27 PM,23.677,,
43,06/14/23 05:11:27 PM,23.004,,
44,06/14/23 05:41:27 PM,22.621,,
45,06/14/23 06:11:27 PM,22.525,,
46,06/14/23 06:41:27 PM,22.333,,
47,06/14/23 07:11:27 PM,22.142,,
48,06/14/23 07:41:27 PM,21.951,,
49,06/14/23 08:11:27 PM,21.760,,
50,06/14/23 08:41:27 PM,21.569,,
51,06/14/23 09:11:27 PM,21.473,,
52,06/14/23 09:41:27 PM,21.378,,
53,06/14/23 10:11:27 PM,21.282,,
54,06/14/23 10:41:27 PM,21.187,,
55,06/14/23 11:11:27 PM,21.091,,
56,06/14/23 11:41:27 PM,20.996,,
57,06/15/23 12:11:27 AM,20.901,,
58,06/15/23 12:41:27 AM,20.805,,
59,06/15/23 01:11:27 AM,20.615,,
60,06/15/23 01:41:27 AM,20.519,,
61,06/15/23 02:11:27 AM,20.424,,
62,06/15/23 02:41:27 AM,20.329,,
63,06/15/23 03:11:27 AM,20.234,,
64,06/15/23 03:41:27 AM,20.043,,
65,06/15/23 04:11:27 AM,19.948,,
66,06/15/23 04:41:27 AM,19.948,,
67,06/15/23 05:11:27 AM,20.043,,
68,06/15/23 05:41:27 AM,19.948,,
69,06/15/23 06:11:27 AM,19.758,,
70,06/15/23 06:41:27 AM,19.758,,
71,06/15/23 07:11:27 AM,19.758,,
72,06/15/23 07:41:27 AM,19.948,,
73,06/15/23 08:11:27 AM,20.234,,
74,06/15/23 08:41:27 AM,20.710,,
75,06/15/23 09:11:27 AM,20.996,,
76,06/15/23 09:41:27 AM,21.187,,
77,06/15/23 10:11:27 AM,22.429,,
78,06/15/23 10:41:27 AM,22.333,,
79,06/15/23 11:11:27 AM,23.388,,
80,06/15/23 11:41:27 AM,24.062,,
81,06/15/23 12:11:27 PM,23.292,,
82,06/15/23 12:41:27 PM,23.484,,
83,06/15/23 01:11:27 PM,24.255,,
84,06/15/23 01:41:27 PM,23.773,,
85,06/15/23 02:11:27 PM,23.388,,
86,06/15/23 02:41:27 PM,23.196,,
87,06/15/23 03:11:27 PM,23.388,,
88,06/15/23 03:41:27 PM,23.388,,
89,06/15/23 04:11:27 PM,23.869,,
90,06/15/23 04:41:27 PM,23.869,,
91,06/15/23 05:11:27 PM,23.484,,
92,06/15/23 05:41:27 PM,23.388,,
93,06/15/23 06:11:27 PM,23.196,,
94,06/15/23 06:41:27 PM,23.004,,
95,06/15/23 07:11:27 PM,22.717,,
96,06/15/23 07:41:27 PM,22.525,,
97,06/15/23 08:11:27 PM,22.238,,
98,06/15/23 08:41:27 PM,21.951,,
99,06/15/23 09:11:27 PM,21.664,,
100,06/15/23 09:41:27 PM,21.473,,
101,06/15/23 10:11:27 PM,21.378,,
102,06/15/23 10:41:27 PM,21.187,,
103,06/15/23 11:11:27 PM,21.091,,
104,06/15/23 11:41:27 PM,20.996,,
105,06/16/23 12:11:27 AM,20.901,,
106,06/16/23 12:41:27 AM,20.901,,
107,06/16/23 01:11:27 AM,20.805,,
108,06/16/23 01:41:27 AM,20.710,,
109,06/16/23 02:11:27 AM,20.615,,
110,06/16/23 02:41:27 AM,20.519,,
111,06/16/23 03:11:27 AM,20.519,,
112,06/16/23 03:41:27 AM,20.424,,
113,06/16/23 04:11:27 AM,20.329,,
114,06/16/23 04:41:27 AM,20.329,,
115,06/16/23 05:11:27 AM,20.234,,
116,06/16/23 05:41:27 AM,20.138,,
117,06/16/23 06:11:27 AM,20.138,,
118,06/16/23 06:41:27 AM,20.138,,
119,06/16/23 07:11:27 AM,20.234,,
120,06/16/23 07:41:27 AM,20.329,,
121,06/16/23 08:11:27 AM,20.615,,
122,06/16/23 08:41:27 AM,21.187,,
123,06/16/23 09:11:27 AM,21.378,,
124,06/16/23 09:41:27 AM,21.664,,
