"Plot Title: B2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376516, SEN S/N: 20376516)","Coupler Detached (LGR S/N: 20376516)","End Of File (LGR S/N: 20376516)"
1,06/13/23 08:39:39 PM,28.853,,
2,06/13/23 08:40:26 PM,,Logged,
3,06/13/23 09:09:39 PM,23.869,,
4,06/13/23 09:39:39 PM,22.525,,
5,06/13/23 10:09:39 PM,22.142,,
6,06/13/23 10:39:39 PM,22.142,,
7,06/13/23 11:09:39 PM,22.238,,
8,06/13/23 11:39:39 PM,22.238,,
9,06/14/23 12:09:39 AM,22.238,,
10,06/14/23 12:39:39 AM,22.142,,
11,06/14/23 01:09:39 AM,22.142,,
12,06/14/23 01:39:39 AM,22.046,,
13,06/14/23 02:09:39 AM,21.951,,
14,06/14/23 02:39:39 AM,21.951,,
15,06/14/23 03:09:39 AM,21.855,,
16,06/14/23 03:39:39 AM,21.760,,
17,06/14/23 04:09:39 AM,21.664,,
18,06/14/23 04:39:39 AM,21.760,,
19,06/14/23 05:09:39 AM,21.760,,
20,06/14/23 05:39:39 AM,21.855,,
21,06/14/23 06:09:39 AM,17.855,,
22,06/14/23 06:39:39 AM,17.189,,
23,06/14/23 07:09:39 AM,17.189,,
24,06/14/23 07:39:39 AM,16.999,,
25,06/14/23 08:09:39 AM,18.426,,
26,06/14/23 08:39:39 AM,20.043,,
27,06/14/23 09:09:39 AM,21.951,,
28,06/14/23 09:39:39 AM,23.966,,
29,06/14/23 10:09:39 AM,26.879,,
30,06/14/23 10:39:39 AM,28.754,,
31,06/14/23 11:09:39 AM,30.255,,
32,06/14/23 11:39:39 AM,30.255,,
33,06/14/23 12:09:39 PM,28.655,,
34,06/14/23 12:39:39 PM,29.452,,
35,06/14/23 01:09:39 PM,29.953,,
36,06/14/23 01:39:39 PM,33.430,,
37,06/14/23 02:09:39 PM,34.796,,
38,06/14/23 02:39:39 PM,32.600,,
39,06/14/23 03:09:39 PM,31.268,,
40,06/14/23 03:39:39 PM,30.659,,
41,06/14/23 04:09:39 PM,32.086,,
42,06/14/23 04:39:39 PM,22.142,,
43,06/14/23 05:09:39 PM,21.664,,
44,06/14/23 05:39:39 PM,21.664,,
45,06/14/23 06:09:39 PM,21.473,,
46,06/14/23 06:39:39 PM,21.282,,
47,06/14/23 07:09:39 PM,21.091,,
48,06/14/23 07:39:39 PM,20.996,,
49,06/14/23 08:09:39 PM,20.901,,
50,06/14/23 08:39:39 PM,20.710,,
51,06/14/23 09:09:39 PM,20.615,,
52,06/14/23 09:39:39 PM,20.615,,
53,06/14/23 10:09:39 PM,20.519,,
54,06/14/23 10:39:39 PM,20.424,,
55,06/14/23 11:09:39 PM,20.329,,
56,06/14/23 11:39:39 PM,20.329,,
57,06/15/23 12:09:39 AM,20.234,,
58,06/15/23 12:39:39 AM,20.234,,
59,06/15/23 01:09:39 AM,20.138,,
60,06/15/23 01:39:39 AM,20.043,,
61,06/15/23 02:09:39 AM,19.948,,
62,06/15/23 02:39:39 AM,19.948,,
63,06/15/23 03:09:39 AM,19.853,,
64,06/15/23 03:39:39 AM,19.758,,
65,06/15/23 04:09:39 AM,19.662,,
66,06/15/23 04:39:39 AM,19.567,,
67,06/15/23 05:09:39 AM,19.567,,
68,06/15/23 05:39:39 AM,19.567,,
69,06/15/23 06:09:39 AM,19.472,,
70,06/15/23 06:39:39 AM,19.472,,
71,06/15/23 07:09:39 AM,19.377,,
72,06/15/23 07:39:39 AM,19.377,,
73,06/15/23 08:09:39 AM,19.472,,
74,06/15/23 08:39:39 AM,19.567,,
75,06/15/23 09:09:39 AM,19.662,,
76,06/15/23 09:39:39 AM,19.758,,
77,06/15/23 10:09:39 AM,20.234,,
78,06/15/23 10:39:39 AM,20.234,,
79,06/15/23 11:09:39 AM,20.424,,
80,06/15/23 11:39:39 AM,20.615,,
81,06/15/23 12:09:39 PM,20.901,,
82,06/15/23 12:39:39 PM,21.187,,
83,06/15/23 01:09:39 PM,21.473,,
84,06/15/23 01:39:39 PM,21.664,,
